2026-05-24T21:01:12.298+08:00	frame=0	bvp=0.392130	hr=93.189	rmssd=272.622	sdnn=185.142	quality=0.525	va_mode=vision	fatigue_state=calibrating	fatigue_raw=0.807	fatigue_calib=0.807	calib_baseline=	valence_raw=-0.149	arousal_raw=-0.273	valence_calib=-0.149	arousal_calib=-0.273	va_calib_state=calibrating
2026-05-24T21:01:26.521+08:00	frame=0	bvp=-0.151009	hr=73.220	rmssd=nan	sdnn=nan	quality=0.319	va_mode=vision	fatigue_state=calibrating	fatigue_raw=0.980	fatigue_calib=0.980	calib_baseline=	valence_raw=-0.066	arousal_raw=-0.247	valence_calib=-0.066	arousal_calib=-0.247	va_calib_state=calibrating
2026-05-24T21:01:40.701+08:00	frame=0	bvp=0.200148	hr=73.220	rmssd=nan	sdnn=nan	quality=0.322	va_mode=vision	fatigue_state=calibrating	fatigue_raw=0.996	fatigue_calib=0.996	calib_baseline=	valence_raw=-0.061	arousal_raw=-0.264	valence_calib=-0.061	arousal_calib=-0.264	va_calib_state=calibrating
2026-05-24T21:02:12.434+08:00	frame=0	bvp=0.033115	hr=73.220	rmssd=nan	sdnn=nan	quality=0.358	va_mode=vision	fatigue_state=calibrating	fatigue_raw=0.881	fatigue_calib=0.881	calib_baseline=	valence_raw=-0.121	arousal_raw=-0.343	valence_calib=-0.121	arousal_calib=-0.343	va_calib_state=calibrating
2026-05-24T21:02:26.688+08:00	frame=0	bvp=0.478021	hr=73.220	rmssd=nan	sdnn=nan	quality=0.383	va_mode=vision	fatigue_state=calibrating	fatigue_raw=0.809	fatigue_calib=0.809	calib_baseline=	valence_raw=-0.106	arousal_raw=-0.369	valence_calib=-0.106	arousal_calib=-0.369	va_calib_state=calibrating
2026-05-24T21:03:55.291+08:00	frame=0	bvp=0.184105	hr=119.814	rmssd=nan	sdnn=nan	quality=0.207	va_mode=vision	fatigue_state=ready	fatigue_raw=0.654	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.158	arousal_raw=-0.115	valence_calib=0.845	arousal_calib=0.869	va_calib_state=ready
2026-05-24T21:04:14.121+08:00	frame=0	bvp=-0.111957	hr=113.158	rmssd=nan	sdnn=nan	quality=0.228	va_mode=vision	fatigue_state=ready	fatigue_raw=0.317	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.160	arousal_raw=-0.069	valence_calib=0.849	arousal_calib=0.983	va_calib_state=ready
2026-05-24T21:04:28.411+08:00	frame=0	bvp=-0.182394	hr=53.251	rmssd=nan	sdnn=nan	quality=0.191	va_mode=vision	fatigue_state=ready	fatigue_raw=0.596	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.203	arousal_raw=-0.136	valence_calib=0.915	arousal_calib=0.818	va_calib_state=ready
2026-05-24T21:04:42.651+08:00	frame=0	bvp=0.403327	hr=79.876	rmssd=363.419	sdnn=224.334	quality=0.527	va_mode=vision	fatigue_state=ready	fatigue_raw=0.779	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.004	arousal_raw=-0.259	valence_calib=0.609	arousal_calib=0.513	va_calib_state=ready
2026-05-24T21:05:00.153+08:00	frame=0	bvp=-0.211344	hr=79.876	rmssd=291.756	sdnn=234.957	quality=0.628	va_mode=multimodal	fatigue_state=ready	fatigue_raw=0.670	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.002	arousal_raw=-0.407	valence_calib=0.605	arousal_calib=0.146	va_calib_state=ready
2026-05-24T21:05:59.579+08:00	frame=0	bvp=-0.428317	hr=59.907	rmssd=nan	sdnn=nan	quality=0.178	va_mode=vision	fatigue_state=ready	fatigue_raw=0.782	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.304	arousal_raw=-0.213	valence_calib=1.000	arousal_calib=0.625	va_calib_state=ready
2026-05-24T21:06:19.767+08:00	frame=0	bvp=0.338431	hr=59.907	rmssd=nan	sdnn=nan	quality=0.311	va_mode=vision	fatigue_state=ready	fatigue_raw=0.651	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.054	arousal_raw=-0.063	valence_calib=0.684	arousal_calib=0.997	va_calib_state=ready
